youtubeId,title,channelName,thumbnailUrl,description,videoUrl
YpjwcmJL0Wc,"Why You Need to Slow Down - Blake Rocha","Blake Anderson",https://i.ytimg.com/vi/YpjwcmJL0Wc/hqdefault.jpg,"#ai #business #viralmarketing 

Blake Rocha is an American entrepreneur, real estate investor, and social media personality who has built a multi-million dollar real estate portfolio, primarily focused on Airbnb and short-term rentals. He is known for sharing his business strategies and lifestyle on platforms like TikTok, Instagram (under the handle @mrfourtoeight), and YouTube. 

00:00 – The Shift From Money to Peace
2:30 – Building Companies \u0026 Letting Go of Ego
10:45 – Finding Purpose \u0026 Alignment
12:00 – From Broke at 22 to Millions
25:10 – Creating Content for Purpose, Not Profit
33:30 – The Rise of AI \u0026 The New Opportunity
41:00 – Progress, Peace, and Living With Intention
54:00 – Creativity, Business, and the Artist Mindset
1:02:00 – Earning Success \u0026 Building Teams
1:13:00 – Deep Work, Reading, and Relearning Focus
1:21:00 – Lessons, Learning, and Letting Go
1:32:00 – The Future of Content \u0026 AI Storytelling
1:38:30 – Final Advice: Chase Excitement

--
Guest: Blake Rocha
Insta - https://www.instagram.com/mrfourtoeight/?hl=en
X - https://x.com/MrFourToEight

Host: Blake Anderson
Insta - https://www.instagram.com/wilder/?hl=en
X - https://x.com/blakeandersonw",https://www.youtube.com/watch?v=YpjwcmJL0Wc
knu_T5QiKF8,"This Gen Z Founder Outsmarted Silicon Valley - Roy Lee","Blake Anderson",https://i.ytimg.com/vi/knu_T5QiKF8/hqdefault.jpg,"#ai #cluely #viralmarketing 

Roy Lee is the 21-year-old founder and CEO of Cluely, a viral AI-powered assistant. Cluely was marketed as the the app that will help you \",https://www.youtube.com/watch?v=knu_T5QiKF8
dZNBqndyT3M,"How Deepfakes and VEO3 are Changing the Internet - Emmet Halm","Blake Anderson",https://i.ytimg.com/vi/dZNBqndyT3M/hqdefault.jpg,"#veo3 #ai #deepfake

Emmet Halm is an entrepreneur with an interest in entertainment and comedy. He is the co-founder of Yapper, an AI content creation tool that allows users to create hilarious deepfake videos. 

He recently graduated with a CS degree from Harvard, where he wrote for the Harvard Lampoon, the undergraduate humor publication.

00:00 - Deepfakes and AI Entertainment
7:18 - Optimizing AI Models
15:12 - AI Personalization
19:44 - Democratization of Art w/ AI
29:07 - AI Tools in Apps
39:01 - Future of AI Content
44:49 - Lightweight AI models
51:01 - Critical Thinking in the Age of AI
56:03 - Notoriety 
1:07:16 - AI Dating Assistance
1:27:24 - Wishes for AI Content

--
Guest: Emmet Halm
Twitter - https://x.com/ehalm_?lang=en

Host: Blake Anderson
Insta - https://www.instagram.com/bwa/
X - https://x.com/blakeandersonw?lang=en",https://www.youtube.com/watch?v=dZNBqndyT3M
EFE6V80O5WQ,"Brain Chips are Coming: 18 Year Old Tech Founder - Zach Yadegari","Blake Anderson",https://i.ytimg.com/vi/EFE6V80O5WQ/hqdefault.jpg,"#calai #ai #app 

Zach Yadegari is an 18-year-old co-founder of Cal AI, an app making over $30m per year. 

At 7 years old, he learned to code. At 15 years old, he built an unblocked gaming website with over 5 million users that he sold for $100k.

Today, Zach has just graduated high school and will be starting at the University of Miami this fall.

00:00 - Introduction
00:33 - What are AI Apps
2:42 - Zach’s AI Experience and the Future of AI
14:11 - Simulation Theory, Brain Chips, and Social Media
19:19 - Societal Impact of AI on Consumers and Producers
30:17 - Consumption of AI from a Philosophical Perspective
37:51 - Perspective on How to Live Life
41:22 - Church of AI and AI God
44:04 - Life Purpose
52:55 - On Entrepreneurship
1:01:19 - Current Opportunities 
1:06:18 - Conclusion

--
Guest: Zach Yadegari
Insta - https://www.instagram.com/zachyadegari/?hl=en
Twitter - https://x.com/zach_yadegari?lang=en

Host: Blake Anderson
Insta - https://www.instagram.com/bwa/
X - https://x.com/blakeandersonw?lang=en",https://www.youtube.com/watch?v=EFE6V80O5WQ
-XCArkJ4Yr0,"Unlocking AI’s Hidden Powers - Baxate Carter","Blake Anderson",https://i.ytimg.com/vi/-XCArkJ4Yr0/hqdefault.jpg,"#nvidia #startup #ai 

Baxate (Carter Abdallah) is a 25-year-old software engineer and social media influencer.  He was a CS major at Georgia Tech before becoming a big tech employee. He then became a founding engineer at a startup acquired by Nvidia.  Baxate has over 1 million followers across social media.  His content focuses on sharing insight on big tech, working at startups, and his recent role at Nvidia.

00:00 - Educating with AI
3:56 - Leveraging AI Tools
7:41 - Importance of Holistic Learning 
17:26 - The Future of 1 Billion Programmers
24:44 - AI Factories and Devices
33:49 - Fitness
44:10 - Social Media and Sharing Experiences
50:13 - Road to Success
57:51 - AI Consciousness

--
Guest: Baxate Carter
Insta - https://www.instagram.com/baxate_carter/?hl=en
Twitter - https://x.com/baxate_carter?lang=en

Host: Blake Anderson
Insta - https://www.instagram.com/bwa/
X - https://x.com/blakeandersonw?lang=en",https://www.youtube.com/watch?v=-XCArkJ4Yr0
Nis0uz0_B7A,"AI Makes Coding Easy: Head of Google's AI Studio - Logan Kilpatrick","Blake Anderson",https://i.ytimg.com/vi/Nis0uz0_B7A/hqdefault.jpg,"#ai #googledeepmind #viralmarketing 

Logan Kilpatrick is one of the heads of product at Google DeepMind.  He previously led developer relations at OpenAI, supporting developers building with the OpenAI API and ChatGPT. He is also on the board of directors at NumFOCUS, the nonprofit organization that supports open source projects like Jupyter, Pandas, NumPy, and more. Before Google Logan worked at OpenAI, Apple and NASA.

00:00 - Intro
1:18 - Data vs Apps
5:18 - Hypothetical Uses
8:20 - Models
13:05 - Capturing Context
18:20 - Hardware vs Software
25:15 - Creating vs Consuming
37:55 - Advice for Beginners
45:15 - UI/UX
51:46 - API Accessibility 
58:13 - Kilpatrick's Chart
1:04:40 - Use Cases
1:09:39 - Final Thoughts

--
Guest: Logan Kilpatrick
Insta - https://www.instagram.com/logankilpatrick/?hl=en
X - https://x.com/OfficialLoganK

Host: Blake Anderson
Insta - https://www.instagram.com/wilder/?hl=en
X - https://x.com/blakeandersonw?lang=en",https://www.youtube.com/watch?v=Nis0uz0_B7A
dKe0cXdivGg,"How I built a NO-CODE App and Hit $10K MRR (5/5)","Blake Anderson",https://i.ytimg.com/vi/dKe0cXdivGg/hqdefault.jpg,"This is the final episode of my 5-part series where I walk through the complete process of building and scaling a no-code app from zero to $10,000 in monthly recurring revenue.

In this video, I cover the strategies I used to actually hit $10K MRR, including marketing tactics, growth strategies, and the real numbers behind the journey.

Disclaimer: I hit just over $4k revenue in two weeks which is about $10k monthly run rate haha.  I wasn't working full-time during this challenge and only did marketing for a few days.  This is definitely metric hacking to some extent.

Built with Anything (No-Code Platform):
https://www.createanything.com

A bit about me: I've been building and scaling apps for years, with over 20 million downloads and $15 million in revenue across different projects. I'm sharing everything I've learned on this channel, so subscribe if you want to follow along with future content on app development, growth, and monetization.

Links:
- Learn more about 10x: https://www.10x.app/
- Follow me on X: https://www.x.com/blakeandersonw/

Previous episodes in this series:
Episode 1: How to IDEATE a Viral App
Episode 2-4: Check the channel for the full series

Drop any questions in the comments and I'll try to answer them.",https://www.youtube.com/watch?v=dKe0cXdivGg
_Kk5pQdbKuI,"How to DEVELOP a Viral App in 2025 (3/5)","Blake Anderson",https://i.ytimg.com/vi/_Kk5pQdbKuI/hqdefault.jpg,"Subscribe to stay up to date for the rest of this series.

On this page, I will be sharing everything I have learned scaling apps to 20m downloads and $15m annual revenue.

Leave comments for the new videos / deep dives you would like to see next.

Learn more about Apex - apex.inc
https://www.instagram.com/bwa
https://www.x.com/blakeandersonw/

0:00 Introduction
1:49 Principle 1: Growth Mindset
3:19 Principle 2: Deep Work \u0026 Timeblocking
4:35 Principle 2: Progressive Overload
5:43 Method 1: RN + Expo + Cursor
6:40 Method 2: Backend Infrastructure
8:00 Method 3: Learn to Prompt",https://www.youtube.com/watch?v=_Kk5pQdbKuI
T64X2GUoDwc,"How to DESIGN a Viral App in 2025 (2/5)","Blake Anderson",https://i.ytimg.com/vi/T64X2GUoDwc/hqdefault.jpg,"Subscribe to stay up to date for the rest of this series.

On this page, I will be sharing everything I have learned scaling apps to 20m downloads and $15m annual revenue.

Leave comments for the new videos / deep dives you would like to see next.

Learn more about Apex - apex.inc
https://www.instagram.com/bwa
https://www.x.com/blakeandersonw/",https://www.youtube.com/watch?v=T64X2GUoDwc
c1OSGwpKz3o,"How to IDEATE a Viral App in 2025 (1/5)","Blake Anderson",https://i.ytimg.com/vi/c1OSGwpKz3o/hqdefault.jpg,"Subscribe to stay up to date for the rest of this series.

I will share everything I have learned scaling apps to over 20m downloads and $15m revenue on this page.

Learn more about Apex - apex.inc
https://www.instagram.com/bwa/
https://www.x.com/blakeandersonw/",https://www.youtube.com/watch?v=c1OSGwpKz3o
